Customer_id,Gender,Region,Age,Product_Name,Category,Unit_Price,Quantity,Total_Price,Shipping_Fee,Shipping_Status,"Order Date"
CUST0268,Male,North,49,Monitor,Electronics,300.00,5,1500.00,13.31,Returned,12/8/2023
CUST0046,Male,West,22,Headphones,Accessories,100.00,2,200.00,6.93,"In Transit",4/9/2023
CUST0169,Female,South,54,Monitor,Electronics,300.00,1,300.00,11.31,Returned,8/28/2023
CUST0002,Male,North,23,Headphones,Accessories,100.00,5,500.00,12.22,Delivered,1/18/2023
CUST0173,Female,South,49,Laptop,Electronics,1500.00,3,4500.00,5.40,Delivered,1/19/2023
CUST0147,Male,North,64,Smartwatch,Wearables,200.00,2,400.00,11.26,"In Transit",1/11/2023
CUST0262,Male,East,27,Smartwatch,Wearables,200.00,1,200.00,18.38,"In Transit",10/23/2023
CUST0159,Female,South,18,Keyboard,Accessories,50.00,2,100.00,15.08,Returned,6/15/2023
CUST0046,Female,East,22,Mouse,Accessories,30.00,1,30.00,8.22,Returned,2/25/2023
CUST0023,Male,West,29,Headphones,Accessories,100.00,3,300.00,10.70,Delivered,4/23/2023
CUST0201,Female,East,49,Headphones,Accessories,100.00,2,200.00,9.80,Returned,6/1/2023
CUST0283,Female,West,67,Mouse,Accessories,30.00,3,90.00,5.65,"In Transit",9/13/2023
CUST0199,Female,West,41,Keyboard,Accessories,50.00,5,250.00,7.13,Delivered,2/17/2023
CUST0039,Male,South,60,Keyboard,Accessories,50.00,4,200.00,10.91,Returned,12/10/2023
CUST0276,Male,West,66,Mouse,Accessories,30.00,1,30.00,11.36,"In Transit",6/29/2023
CUST0143,Female,Unknown,36,Smartwatch,Wearables,200.00,3,600.00,7.89,Delivered,7/14/2023
CUST0139,Male,North,57,Laptop,Electronics,1500.00,4,6000.00,10.92,"In Transit",5/13/2023
CUST0210,Male,South,30,Smartphone,Electronics,800.00,2,1600.00,11.44,Returned,6/9/2023
CUST0293,Female,East,32,Smartwatch,Wearables,200.00,5,1000.00,7.16,"In Transit",6/21/2023
CUST0049,Female,West,59,Monitor,Electronics,300.00,4,1200.00,17.37,"In Transit",11/26/2023
CUST0283,Female,East,67,Smartphone,Electronics,800.00,5,4000.00,12.17,Delivered,11/8/2023
CUST0196,Female,South,37,Mouse,Accessories,30.00,3,90.00,19.41,Returned,12/27/2023
CUST0050,Male,North,49,Mouse,Accessories,30.00,3,90.00,6.97,Returned,6/6/2023
CUST0007,Female,East,52,Headphones,Accessories,100.00,2,200.00,12.00,"In Transit",10/28/2023
CUST0242,Male,North,58,Smartphone,Electronics,800.00,4,3200.00,18.11,Unknown,12/30/2023
CUST0042,Female,South,57,Keyboard,Accessories,50.00,1,50.00,9.60,Delivered,12/4/2023
CUST0264,Male,East,59,Smartphone,Electronics,1658.00,2,1600.00,11.59,"In Transit",2/1/2023
